pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
6359	Женщина в красном костюме склоняется к стене из кирпича и играть на музыкальном инструменте	Женщина в красном платье, играет на музыкальном инструменте	4.0	ENTAILMENT
6360	Женщина в красном костюме не прислонившись к кирпичной стене и не играет на музыкальном инструменте	Женщина в красном платье, играет на музыкальном инструменте	3.9	NEUTRAL
6362	Женщина в красном платье убирая инструмент	Женщина в красном костюме склоняется к кирпичной стене и играть на музыкальном инструменте	3.1	NEUTRAL
6363	Женщина в красном платье, играет на музыкальном инструменте	Женщина в красном костюме склоняется к кирпичной стене и играть на музыкальном инструменте	4.0	NEUTRAL
6366	Молодой ребенок, одетый в белый халат и играть в игру	Ребенок, который молод, одет в белый халат и играть в игру	4.9	ENTAILMENT
6368	Молодой игрок играет с ребенком, носить белое пальто	Молодой ребенок, одетый в белый халат и играть в игру	3.635	NEUTRAL
6370	Ребенок играет с игрушками на открытом воздухе	Там нет маленького ребенка носить белый халат и играть в игру	2.7	CONTRADICTION
6372	Ребенок восхищенно играет с игрушками на открытом воздухе	Молодой ребенок, одетый в белый халат и играть в игру	2.8	NEUTRAL
6373	Молодой ребенок, одетый в белый халат и играть в игру	Ребенок играет с игрушками в помещении	3.0	NEUTRAL
6375	Человек, одетый в гидрокостюм и едет на доске для серфинга	Человек, одетый в гидрокостюм и едет на доске для серфинга	4.5	ENTAILMENT
6377	Серфер опирается на доску для серфинга	Серфер, опираясь на доски для серфинга	5.0	ENTAILMENT
6381	Там не серфер, опираясь на доски для серфинга	Человек, одетый в гидрокостюм и едет на доске для серфинга	3.0	NEUTRAL
6382	Серфер наклоняется на доске для серфинга к стене	Человек, одетый в гидрокостюм и едет на доске для серфинга	2.6	NEUTRAL
6385	Человек, одетый в гидрокостюм и едет на доске для серфинга	Серфер опирается на доску для серфинга	3.4	NEUTRAL
6386	Водопад течет спокойно в неглубокий бассейн	Водопад течет в неглубокий бассейн	4.5	ENTAILMENT
6387	Водопад течет из неглубокого бассейна	Водопад течет в неглубокий бассейн	3.5	NEUTRAL
6390	Водопад течет в неглубокий бассейн	Люди идут по дороге возле водопада, который красиво	2.5	NEUTRAL
6392	Люди идут по дороге возле красивого водопада	Водопад течет спокойно в неглубокий бассейн	2.7	NEUTRAL
6395	Собака пасет группу белых овец на пыльную ферме	Собака пасет пачку белых овец на пыльной ферме	5.0	ENTAILMENT
6397	Овчарка группирует стадо овец	Овчарка группировка стадо овец	5.0	ENTAILMENT
6402	Овчарка группирует стадо овец	Собака рассеивающая пачки белых овец на пыльную ферме	3.6	NEUTRAL
6404	Мужчина, который темнокожий, стоит на одной руке перед желтым зданием	Темнокожий мужчина стоит на одной руке перед желтым зданием	5.0	ENTAILMENT
6405	Темнокожий мужчина стоит на одной руке перед желтым зданием	Темнокожий мужчина не стоит, с одной стороны, в передней части желтого здания	4.0	CONTRADICTION
6407	Черный человек умел брейк на тротуаре	Черный человек брейком на тротуаре	4.7	ENTAILMENT
6411	Мужчина, который темнокожий, стоит на одной руке перед желтым зданием	Черный человек брейком на тротуаре	2.7	NEUTRAL
6412	Темнокожий мужчина не стоит, с одной стороны, в передней части желтого здания	Черный человек брейком на тротуаре	3.0	NEUTRAL
6417	Человек, который ездит на велосипедах, в черном и красном мундире, стоит на велосипеде грязи	Велосипед наездник в черно-красной форме стоит на велосипеде грязи	4.8	ENTAILMENT
6419	Велосипед наездник в черно-красной форме стоит на велосипеде грязи	Черный велосипед гонщик в красном велосипеде погонах стоит в грязи	3.7	NEUTRAL
6420	Человек едет на велосипеде	Человек, который ездит на велосипедах, в черном и красном мундире, стоит на велосипеде грязи	3.0	NEUTRAL
6421	Велосипед всадник в черном и красном мундире прыгает вниз от велосипеда грязи	Человек едет на велосипеде	3.8	NEUTRAL
6423	Велосипед едут верхом лицом	Велосипед наездник в черно-красной форме стоит на велосипеде грязи	3.4	NEUTRAL
6424	Там нет ни одного человека, езда на велосипеде	Велосипед наездник в черно-красной форме стоит на велосипеде грязи	3.5	NEUTRAL
6426	Человек в фиолетовый костюм стоит фиолетовой случае и играет на гитаре	Человек в фиолетовой цветной костюм стоит фиолетовой случае и играет на гитаре	4.9	ENTAILMENT
6429	Человек играет на гитаре и имеет дело гитары открытый для пожертвований	Человек отложив гитару в футляре для гитары	2.9	CONTRADICTION
6432	Человек в фиолетовый костюм стоит фиолетовой случае и играет на гитаре	Человек отложив гитару в футляре для гитары	3.4	NEUTRAL
6434	Человек в фиолетовой цветной костюм стоит фиолетовой случае и играет на гитаре	Человек играет на гитаре и имеет дело гитары открытый для пожертвований	3.7	NEUTRAL
6443	Пара сидит на террасе и, глядя на океан	Некоторые взрослые сидят в креслах и смотрят на океан	4.0	NEUTRAL
6444	Никто не сидит в креслах и смотрят на океан	Пара сидит на террасе и, глядя на океан	3.0	NEUTRAL
6447	Маленький мальчик в желтой рубашке смеется на пляже	Там не маленький мальчик в желтой рубашке смеется на пляже	2.3	CONTRADICTION
6448	Маленький мальчик, одетый в желтую майку и смеется	Маленький мальчик, одетый в желтую майку и смеется	5.0	ENTAILMENT
6452	Маленький мальчик в желтой рубашке смеется на пляже	Маленький мальчик топлесс и серьезно	2.6	NEUTRAL
6454	Маленький мальчик в рубашке, который желтый, смеется на пляже	Маленький мальчик, одетый в желтую майку и смеется	4.265	ENTAILMENT
6458	Оранжевый спасательный катер не прет по воде	Оранжевый спасательный катер несется по воде	3.2	CONTRADICTION
6460	Двое мужчин едут оранжевый плот на берегу	Двое мужчин получают от оранжевого плота на берегу	4.2	NEUTRAL
6463	Двое мужчин получают от оранжевого плота на берегу	Оранжевый спасательный катер несется по воде	3.0	NEUTRAL
6467	Двое мужчин едут оранжевый плот на берегу	Оранжевый спасательный катер несется по воде	3.4	NEUTRAL
6468	Собака с очень длинными волосами и красным жилетом работает в траве	Собака с длинными волосами и красным жилетом работает в траве	4.7	ENTAILMENT
6469	Собака с длинными волосами и красным жилетом сидит в траве	Собака с длинными волосами и красным жилетом работает в траве	4.1	NEUTRAL
6470	Собака в окрашенном красном жилете работает в области	Собака в красном жилете работает в области	4.5	ENTAILMENT
6471	Собака в красном жилете не работает в поле	Собака в красном жилете работает в области	3.7	CONTRADICTION
6477	Человек стоит в обширной области ледникового льда	Один человек стоит в обширной области ледникового льда	4.8	ENTAILMENT
6478	Человек стоит в обширной области ледникового льда	Там нет ни одного человека, стоящего в обширной области ледникового льда	3.1	CONTRADICTION
6480	Человек не стоит на белом льду	Человек стоит на белом льду	3.6	CONTRADICTION
6488	Женщина быстро сноуборде вниз по наклонной плоскости, а другая женщина, стоящая за ней	Женщина сноуборд вниз по наклонной плоскости, а другая женщина, стоящая за ней	4.9	ENTAILMENT
6489	Женщина сноуборд вниз по наклонной плоскости, а другая женщина, стоящая за ней	Там нет ни одной женщин на сноуборде вниз по наклонной плоскости, и нет никакого другого женщина, стоящий за ней	4.3	CONTRADICTION
6491	Белокурая мальчик скользит вниз песчаные дюны на скейтборде	Там нет ни одной женщин на сноуборде вниз по наклонной плоскости, и нет никакого другого женщина, стоящий за ней	2.0	NEUTRAL
6495	Человек берет фотографию себя и другой парень	Изображение себя и другой парень везет человек	4.4	ENTAILMENT
6496	Человек не принимает изображение себя и другого парня	Человек берет фотографию себя и другой парень	3.7	CONTRADICTION
6497	Мужчина держит электронное устройство	Человек держит электронное устройство	4.5	ENTAILMENT
6499	Электронный человек удерживается в качестве устройства	Мужчина держит электронное устройство	2.5	NEUTRAL
6500	Человек берет фотографию себя и другой парень	Человек держит электронное устройство	3.1	ENTAILMENT
6506	Немного черная собака гонится за маленькую коричневую собаку	Собака, которая мало и черный, преследует маленькую коричневую собаку	4.8	ENTAILMENT
6508	Коричневая собака и черная собака в траве	Коричневая собака и черная собака в траве	4.9	ENTAILMENT
6510	Коричневая собака и черная собака в траве	Немного черная собака гонится за маленькую коричневую собаку	3.2	NEUTRAL
6511	Коричневая собака и черная собака далеко от травы	Немного черная собака гонится за маленькую коричневую собаку	2.5	NEUTRAL
6513	Там нет маленькой черной собаки чеканки маленькой коричневой собаки	Коричневая собака и черная собака в траве	3.3	NEUTRAL
6514	Немного черная собака гонится за маленькую коричневую собаку	Коричневая собака и черная собака в траве	3.4	NEUTRAL
6517	Девочка окружает коричневый одетые дети, закрывая глаза	Девушка в коричневом платье в окружении детей и закрывает глаз	3.9	NEUTRAL
6521	Девушка в коричневом платье в окружении детей и закрывает глаз	Солнце не светит на лице девушки, которая находится в желтом платье	1.9	NEUTRAL
6527	Женщины не носить уши кролика и номера гонки и не указывают на то, на расстоянии	Женщины носить уши кролика и номер гонки и указывая на что-то на расстоянии	3.7	CONTRADICTION
6529	Некоторые женщины носить розовые уши кролика, и указывая на право	Некоторые женщины взлетают розовые уши кролика и указывая влево	3.6	NEUTRAL
6531	Женщины носить уши кролика и номер гонки и указывая на что-то на расстоянии	Группа женщин носить розовые уши кролика, и указывая на право	3.9	NEUTRAL
6532	Некоторые женщины взлетают розовые уши кролика и указывая влево	Женщины носить уши кролика и номер гонки и указывая на что-то на расстоянии	3.4	NEUTRAL
6535	Некоторые женщины носить розовые уши кролика, и указывая на право	Женщины не носить уши кролика и номера гонки и не указывают на то, на расстоянии	3.4	CONTRADICTION
6536	Женщины носить уши кролика и номер гонки и указывая на что-то на расстоянии	Некоторые женщины носить розовые уши кролика, и указывая на право	3.8	NEUTRAL
6540	Хоккейный вратарь носить желтую майку и защищает цель	Хоккейный вратарь не носить желтую майку и не отстаивая цели	3.3	CONTRADICTION
6543	Цель охраняются хоккеистом в желтой майке	Хоккейный вратарь носить желтую майку и защищает цель	4.9	ENTAILMENT
6545	Хоккейный вратарь носить желтую майку и защищает цель	Хоккейный игрок в желтой майке охраняет цель	4.6	ENTAILMENT
6546	Ребенок, который выглядит молодо, стоит перед некоторыми деревьями	Маленький ребенок стоит перед некоторыми деревьями	4.9	ENTAILMENT
6548	Маленький мальчик стоит в лесу	Маленький мальчик стоит в лесу	5.0	ENTAILMENT
6549	Маленький мальчик стоит в лесу	Маленький мальчик сидит в лесу	3.5	NEUTRAL
6550	Маленький мальчик стоит в лесу	Маленький ребенок стоит перед некоторыми деревьями	4.0	ENTAILMENT
6552	Ребенок, который выглядит молодо, стоит перед некоторыми деревьями	Маленький мальчик стоит в лесу	3.6	NEUTRAL
6554	Маленький мальчик стоит в лесу	Маленький ребенок стоит перед некоторыми деревьями	3.7	NEUTRAL
6555	Два человека смотрят на статую из золота	Два человека смотрят на золотую статую	4.5	ENTAILMENT
6557	Двое молодых людей, которые весело играют на улице рядом с золотой статуей	Двое молодых людей, которые играют на улице рядом с золотой статуей	4.4	ENTAILMENT
6558	Двое молодых людей, которые сидят на улице рядом с золотой статуей	Двое молодых людей, которые играют на улице рядом с золотой статуей	3.7	NEUTRAL
6559	Двое молодых людей, которые весело играют на улице рядом с золотой статуей	Два человека смотрят на золотую статую	3.2	NEUTRAL
6563	Два человека смотрят на золотую статую	Двое молодых людей, которые играют на улице рядом с золотой статуей	3.3	NEUTRAL
6565	Велосипедист едет по улице города	Велосипедист не едет на городской улице	4.2	CONTRADICTION
6566	Женщина одета в синий шлем и езда на велосипеде на стоянке	Женщина одета в синий шлем и езда на велосипеде на стоянке	5.0	ENTAILMENT
6567	Женщина одета в синий шлем и езда на велосипеде на стоянке	Там нет ни одной женщины, носить синий шлем и езда на велосипеде на стоянке	2.5	CONTRADICTION
6569	Женщина одета в синий шлем и езда на велосипеде на стоянке	Велосипедист едет по улице города	2.615	NEUTRAL
6572	Женщина одета в синий шлем и езда на велосипеде на стоянке	Велосипедист мчится на улице города	3.2	NEUTRAL
6575	Домашнее животное собака стоит на берегу и смотрит на другую собаку, которая является коричневый, в пруду	Домашнее животное собака стоит на берегу и смотрит на другой коричневая собака в пруду	4.7	ENTAILMENT
6576	Домашнее животное собака стоит на берегу и смотрит на другой коричневая собака в пруду	Там нет домашних животных собаки, стоя на береге и глядя на другой коричневую собаку в пруду	4.5	CONTRADICTION
6578	Загар собака смотрит на коричневую собаку, которая плавает в пруду	Загар собака не смотрит коричневую собаку, которая плавает в пруду	3.7	CONTRADICTION
6579	Загар собака смотрит на коричневую собаку, которая плавает в пруду	Домашнее животное собака стоит на берегу и смотрит на другой коричневая собака в пруду	4.3	NEUTRAL
6580	Загар собака не смотрит коричневую собаку, которая плавает в пруду	Домашнее животное собака стоит на берегу и смотрит на другой коричневая собака в пруду	3.3	NEUTRAL
6582	Загар собака смотрит на коричневую собаку, которая плавает в пруду	Там нет домашних животных собаки, стоя на береге и глядя на другой коричневую собаку в пруду	2.5	NEUTRAL
6584	Молодая женщина танцует	Молодая девушка танцует	4.7	ENTAILMENT
6588	Молодая девушка танцует	Молодая девушка стоит вызывающе на одной ноге	2.9	NEUTRAL
6589	Молодая девушка танцует	Молодая девушка стоит на обеих ногах	3.2	NEUTRAL
6591	Молодая девушка стоит на одной ноге	Молодая девушка стоит на месте	4.0	NEUTRAL
6593	Пчела цепляется желтый цветок	Желтый цветок в настоящее время цеплялся пчела	4.6	ENTAILMENT
6595	Небольшая пчела посадка на куче желтых цветов	Небольшая пчела приземляется на кучу желтых цветов	4.9	ENTAILMENT
6597	Небольшая пчела посадка на куче желтых цветов	Пчела цепляется желтый цветок	3.6	NEUTRAL
6599	Небольшая пчела приземляется на кучу желтых цветов	Желтый цветок в настоящее время цеплялся пчела	3.8	NEUTRAL
6600	Пчела взлетает из желтого цветка	Небольшая пчела приземляется на кучу желтых цветов	2.6	NEUTRAL
6603	Никто не ступая по снегу красивого снежного пейзажа	Некоторые люди ступая по снегу красивого снежного пейзажа	3.7	CONTRADICTION
6604	Четыре человека трудно ходить с трудом через густой снег и солнце садится	Четыре человека проходит по густому снегу, и солнце садится	4.6	ENTAILMENT
6605	Четыре человека проходит по густому снегу, и солнце садится	Четыре человека стоит в густом снеге и солнце встает	3.5	NEUTRAL
6606	Четыре человека трудно ходить с трудом через густой снег и солнце садится	Некоторые люди ступая по снегу красивого снежного пейзажа	3.3	NEUTRAL
6607	Некоторые люди ступая по снегу красивого снежного пейзажа	Четыре человека стоит в густом снеге и солнце встает	2.9	NEUTRAL
6610	Четыре человека проходит по густому снегу, и солнце садится	Некоторые люди ступая по снегу красивого снежного пейзажа	3.9	NEUTRAL
6614	Четыре мальчика стоят на коленях рядом друг с другом перед мячом	Там нет мальчиков на коленях рядом друг с другом перед мячом	4.3	CONTRADICTION
6615	Некоторые мальчики стоят на коленях рядом друг с другом перед мячом	Молодые мальчики позируют с зеленым футбольным мячом в парке	3.9	NEUTRAL
6617	Молодые дети позируют с зеленым футбольным мячом в парке	Четыре мальчика стоят на коленях рядом друг с другом перед мячом	2.9	NEUTRAL
6618	Четыре мальчика стоят на коленях рядом друг с другом перед мячом	Молодые мальчики не ставит с зеленым футбольным мячом в парке	3.0	NEUTRAL
6619	Молодые мальчики позируют с зеленым футбольным мячом в парке	Четыре мальчика стоят на коленях рядом друг с другом перед мячом	3.5	NEUTRAL
6620	Загар собака работает через щетку	Собака, которая является загаром, работает через щетку	5.0	ENTAILMENT
6626	Белая собака с бежевыми пятнами через поле	Собака, которая является загаром, работает через щетку	2.9	NEUTRAL
6631	Лошадь и всадник являются перепрыгивая через барьер	Лошадь перепрыгивая через наездник на барьере	3.5	NEUTRAL
6632	Препятствие в настоящее время прыгнула на лошади, который имеет всадник на его спине	Лошадь прыгает препятствие и имеет всадник на его спине	4.9	ENTAILMENT
6635	Лошадь, без наездника падает через препятствие	Лошадь и всадник являются перепрыгивая через барьер	3.1	NEUTRAL
6638	Лошадь прыгает препятствие и имеет всадник на его спине	Лошадь перепрыгивая через наездник на барьере	3.1	NEUTRAL
6640	Некоторые футболисты в красных и белых прыгают и обниматься	Футболисты в красном и белом прыгают и обнимают друг друг	4.8	ENTAILMENT
6644	Два товарищей по команде поднимает футболист в красно-белой форме	Футболисты в красном и белом прыгают и обнимают друг друг	3.7	NEUTRAL
6646	Футболист в красно-белой форме в настоящее время снимается в двух товарищей по команде	Некоторые футболисты в красных и белых прыгают и обниматься	3.7	NEUTRAL
6647	Футболист в красно-белой форме в настоящее время снимается в двух товарищей по команде	Там нет футболисты в красных и белых прыгает и обнимают друг друга	3.3	NEUTRAL
6648	Футболисты в красном и белом прыгают и обнимают друг друг	Футболист в красно-белой форме в настоящее время снимается в двух товарищей по команде	3.8	NEUTRAL
6656	Белая женщина стоит на женщина, одетая в синий цвет на сцене	Две девочки-подростки носить модные платья на мероприятии	1.6	NEUTRAL
6657	Женщина в белом платье и женщина в синем платье стоя на сцене	Две девочки в подростковом возрасте носят модные платья на мероприятии	2.6	NEUTRAL
6658	Две старушки носите изношенные платья дома	Женщина в белом платье и женщина в синем платье стоя на сцене	2.6	NEUTRAL
6659	Женщина в белом платье и женщина в синем платье стоя на сцене	Две девочки-подростки носить модные платья на мероприятии	2.3	NEUTRAL
6664	Две женщины со сложенными руками, которые молодые, глядя на экран	Две женщины с черными волосами, стоя перед фанерной стеной	2.5	NEUTRAL
6665	Две женщины с черными волосами, стоя перед фанерной стеной	Две молодые женщины со сложенными руками смотрят в сторону от экрана	2.0	NEUTRAL
6669	Группа студентов в униформе слушает внимательно на передней части класса	Некоторые студенты в форменных вслушиваясь в передней части класса	4.8	ENTAILMENT
6670	Группа студентов в униформе слушает внимательно на передней части класса	Группа студентов в униформе игнорирует перед классом	3.2	CONTRADICTION
6671	Классная комната полна студентов ищет в том же направлении внутри бамбуковой структуры	Классная комната полна студентов внимательно глядя в том же направлении внутри бамбуковой структуры	4.8	ENTAILMENT
6674	Там нет классе полно студентов, ищущих в том же направлении внутри бамбуковой структуры	Группа студентов в униформе слушает внимательно на передней части класса	2.6	NEUTRAL
6675	Некоторые студенты в форменных вслушиваясь в передней части класса	Классная комната полна студентов ищет в том же направлении внутри бамбуковой структуры	3.0	NEUTRAL
6678	Мальчик прыгает с платформы и два других мальчика стоят и смотрят	Мальчик прыгает с платформы и двух других мальчиков, стоя и глядя на него	4.8	ENTAILMENT
6683	Мальчик прыгает с платформы и два других мальчика стоят и смотрят	Никто не прыгает с платформы	3.4	CONTRADICTION
6684	Три мальчика прыгают с платформы	Мальчик прыгает с платформы и двух других мальчиков, стоя и глядя на него	3.7	NEUTRAL
6687	Группа детей играет на структуру, которая является красочным	Группа дети играют на красочные структуры	5.0	ENTAILMENT
6688	Группа детей смотрит на красочные структуры	Группа дети играют на красочные структуры	2.9	NEUTRAL
6692	Группа дети играют на красочные структуры	Там не один восхождение на грот с розовым интерьером	1.8	NEUTRAL
6694	Группа детей смотрит на красочные структуры	Четыре средних восточные детей, три девочки и один мальчик, восхождение на гроте с розовым интерьером	2.5	NEUTRAL
6695	Четыре средних восточные детей, три девочки и один мальчик, восхождение на гроте с розовым интерьером	Группа дети играют на красочные структуры	3.8	ENTAILMENT
6696	Группа людей сидит, расслабился с обеих сторон красного камня памятника	Группа людей сидит по обе стороны от красной каменной конструкции	4.3	ENTAILMENT
6697	Группа людей сидит по обе стороны от красной каменной конструкции	Группа людей стоит на обеих сторонах красной каменной конструкции	4.4	NEUTRAL
6698	Группа людей сидит на земле за пределами памятника	Некоторые люди сидят на земле за пределами памятника	4.9	ENTAILMENT
6700	Группа людей сидит по обе стороны от красной каменной конструкции	Некоторые люди сидят на земле за пределами памятника	3.3	NEUTRAL
6701	Группа людей сидит по обе стороны от красной каменной конструкции	Группа людей не сидит на земле за пределами памятника	3.2	NEUTRAL
6711	Ребенок, который является небольшим, находится на открытом воздухе восхождение шагов на открытом воздухе в районе с травой	Маленький ребенок в розовом свитере восхождение бетонной лестницы	2.9	NEUTRAL
6714	Черная птица сидит удобно в безлистном дереве	Черная птица сидит в безлистном дереве	4.9	ENTAILMENT
6715	Черная птица не сидит в безлистном дереве	Черная птица сидит в безлистном дереве	3.7	CONTRADICTION
6717	Черная птица сидит на мертвом дереве	Черная птица взлететь из мертвого дерева	3.4	NEUTRAL
6720	Черная птица взлететь из мертвого дерева	Черная птица сидит в безлистном дереве	3.7	CONTRADICTION
6721	Мертвая птица рядом черный человек, сидящий на дереве	Черная птица сидит в безлистном дереве	2.8	NEUTRAL
6723	Черная птица не сидит в безлистном дереве	Черная птица сидит на мертвом дереве	3.8	NEUTRAL
6725	Ребенок в оранжевый цвет играет на открытом воздухе с снежный ком	Ребенок в оранжевый цвет играет на улице с снежный ком	4.8	ENTAILMENT
6728	Ребенок делает снежный шар	Ребенок разбив снежный шар	3.7	NEUTRAL
6731	Ребенок делает снежный шар	Ребенок в оранжевый цвет играет на открытом воздухе с снежный ком	4.4	ENTAILMENT
6733	Ребенок делает снежный шар	Ребенок в оранжевый цвет играет на улице с снежный ком	3.7	NEUTRAL
6735	Три человек стоит на скамейке в некоторых пальмах	Три человека сидит на скамейке в некоторых пальмах	3.6	NEUTRAL
6736	Люди сидят бесцельно на скамейке перед рестораном	Люди сидят на скамейке перед рестораном	4.4	ENTAILMENT
6738	Люди сидят на скамейке перед рестораном	Люди сидят в ресторане перед пляжем	4.0	NEUTRAL
6742	Несколько человек сидят на скамейке в некоторых пальм	Люди сидят на скамейке перед рестораном	3.4	NEUTRAL
6745	Два человека сидят в шезлонгах и читают книги	Некоторые люди сидят в шезлонгах и читают книги	4.65	ENTAILMENT
6746	Там нет никого, сидя в шезлонгах и чтения книг	Два человека сидят в шезлонгах и читают книги	3.3	CONTRADICTION
6747	Два человека в двух стульях читают приятно	Два человека в двух стульях читают	4.5	ENTAILMENT
6748	Два человека в двух стульях говорят	Два человека в двух стульях читают	3.9	NEUTRAL
6750	Два человека сидят в шезлонгах и читают книги	Два человека в двух стульях говорят	3.5	NEUTRAL
6752	Там нет никого, сидя в шезлонгах и чтения книг	Два человека в двух стульях читают	3.7	NEUTRAL
6754	Задней маленькой черной собаки в настоящее время вдыхают коричневой собаки	Коричневая собака нюхает заднюю часть маленькой черной собаки	4.9	ENTAILMENT
6757	Большая коричневая собака и маленькая серая собака стоит на скалистую поверхность	Там нет большой коричневый собака и маленькая серая собака стоит на скалистой поверхности	3.9	CONTRADICTION
6758	Большая коричневая собака и маленькая серая собака стоит на скалистую поверхность	Коричневая собака нюхает заднюю часть маленькой черной собаки	3.3	NEUTRAL
6760	Задней маленькой черной собаки в настоящее время вдыхают коричневой собаки	Большая коричневая собака и маленькая серая собака стоит на скалистую поверхность	2.6	NEUTRAL
6761	Коричневая собака не нюхает заднюю маленькую черную собаку	Большая коричневая собака и маленькая серая собака стоит на скалистую поверхность	2.5	NEUTRAL
6762	Большая коричневая собака и маленькая серая собака стоит на скалистую поверхность	Коричневая собака нюхает заднюю часть маленькой черной собаки	2.4	NEUTRAL
6765	Три мальчика раскачивает прогулку по реке	Три мальчика идет на скалах вдоль реки	3.5	NEUTRAL
6766	Мужчины в коричневых шортах ходить на скалах на берегу реки	Человек в коричневых цветных трусах ходит на скалах на берегу реки	4.3	ENTAILMENT
6768	Человек в коричневых цветных трусах ходит на скалах на берегу реки	Три мальчика идет на скалах вдоль реки	2.5	NEUTRAL
6769	Три мальчика идет на скалах вдоль реки	Мужчины в коричневых шортах не ходить на скалах на берегу реки	3.4	NEUTRAL
6770	Три мальчика тщательно ходить на скалах вдоль реки	Мужчины в коричневых шортах ходить на скалах на берегу реки	3.5	NEUTRAL
6771	Три мальчика отдыхает на скалах вдоль реки	Мужчины в коричневых шортах ходить на скалах на берегу реки	2.8	NEUTRAL
6772	Три мальчика раскачивает прогулку по реке	Мужчины в коричневых шортах ходить на скалах на берегу реки	2.9	NEUTRAL
6773	Мужчины в коричневых шортах ходить на скалах на берегу реки	Три мальчика идет на скалах вдоль реки	3.6	NEUTRAL
6775	Там не собака прыгает за фрисби в снегу	Собака прыгает за фрисби в снегу	3.6	CONTRADICTION
6777	Черная собака в снегу прыгает на землю и хватает палку	Черная собака в снегу прыгает от земли и ловить палку	3.9	NEUTRAL
6778	Собака прыгает за фрисби в снегу	Черная собака в снегу прыгает от земли и ловить палку	3.0	NEUTRAL
6781	Черная собака в снегу прыгает от земли и ловить палку	Там не собака прыгает за фрисби в снегу	2.65	NEUTRAL
6789	Мужчина держит маску в поднятой руке	Человек элегантно одетый в черном, носит сложную черную маску	3.2	NEUTRAL
6791	Человек, одетый в черном, носит сложную черную маску	Мужчина держит маску в поднятой руке	3.3	NEUTRAL
6799	Двое детей согнувшись в некоторых металлических прутков	Двое детей, опираясь на ржавый выступе	2.5	NEUTRAL
6800	Двое детей согнувшись в некоторых металлических прутков	Двое детей заглядывая ржавый уступ	2.6	NEUTRAL
6802	Игрок в фиолетовом, белом и черном играет в конце поля	Игрок в фиолетовых, белых и черном не играет в конце поля	4.3	CONTRADICTION
6804	Человек, одетый в спортивную форму и бежит вниз по полю	Спортивная униформа надетый на человек, который работает по полю	4.9	ENTAILMENT
6805	Человек голый и лежит в области	Человек, одетый в спортивную форму и бежит вниз по полю	2.3	NEUTRAL
6810	Черный игрок делает игроку белыми игру ближе к концу пурпурного поля	Человек, одетый в спортивную форму и бежит вниз по полю	2.3	NEUTRAL
